timestamp,container,cpu,mem_usage,net_io
1775423489,dds26-team9-order-web-2,0.31%,239.7MiB / 1GiB,9.62kB / 4.85kB
1775423489,dds26-team9-order-web-22,0.32%,238.5MiB / 1GiB,10kB / 6.06kB
1775423489,dds26-team9-order-worker-2,0.68%,35.93MiB / 512MiB,1.58MB / 2.48MB
1775423489,dds26-team9-order-web-4,0.29%,237.8MiB / 1GiB,8.99kB / 4.98kB
1775423489,dds26-team9-order-web-9,0.29%,237.5MiB / 1GiB,8.38kB / 4.38kB
1775423489,dds26-team9-order-web-12,0.27%,237.8MiB / 1GiB,8.44kB / 4.91kB
1775423489,dds26-team9-order-web-17,0.29%,257.7MiB / 1GiB,17kB / 11.5MB
1775423489,dds26-team9-order-web-5,0.29%,237.8MiB / 1GiB,7.68kB / 4.98kB
1775423489,dds26-team9-order-web-11,0.31%,238.4MiB / 1GiB,8.1kB / 6.06kB
1775423489,dds26-team9-order-web-6,0.32%,238.1MiB / 1GiB,7.41kB / 5.45kB
1775423489,dds26-team9-order-web-1,0.30%,238.4MiB / 1GiB,7.42kB / 6.12kB
1775423489,dds26-team9-order-web-8,0.31%,237.8MiB / 1GiB,6.42kB / 4.91kB
1775423489,dds26-team9-order-worker-1,0.72%,34.16MiB / 512MiB,1.57MB / 2.47MB
1775423489,dds26-team9-order-web-20,0.28%,238.1MiB / 1GiB,6.44kB / 5.45kB
1775423489,dds26-team9-order-worker-8,0.64%,36.12MiB / 512MiB,1.57MB / 2.46MB
1775423489,dds26-team9-user-web-1,0.32%,211.9MiB / 512MiB,18.9kB / 5.53kB
1775423489,dds26-team9-user-web-3,0.30%,225.8MiB / 512MiB,21.5kB / 3.1MB
1775423489,dds26-team9-user-worker-2,0.66%,32.89MiB / 512MiB,1.58MB / 2.54MB
1775423489,dds26-team9-user-worker-3,0.54%,36.78MiB / 512MiB,1.57MB / 2.53MB
1775423489,dds26-team9-user-worker-1,0.51%,33.04MiB / 512MiB,1.56MB / 2.52MB
1775423489,dds26-team9-user-web-2,0.29%,211.4MiB / 512MiB,16.5kB / 4.99kB
1775423489,dds26-team9-user-web-4,0.30%,212.5MiB / 512MiB,15.6kB / 5.53kB
1775423489,dds26-team9-user-worker-4,0.52%,34.82MiB / 512MiB,1.55MB / 2.5MB
1775423489,dds26-team9-redis-order-1,3.68%,33.96MiB / 512MiB,31.5MB / 12.7MB
1775423489,dds26-team9-redis-orchestrator-1,8.19%,34.8MiB / 512MiB,70.1MB / 40.4MB
1775423489,dds26-team9-redis-payment-1,2.24%,29.96MiB / 512MiB,13.2MB / 6.23MB
1775423489,dds26-team9-redis-stock-1,2.54%,31.09MiB / 512MiB,23.2MB / 12.3MB
1775423492,dds26-team9-gateway-1,0.00%,9.164MiB / 354.3GiB,4.48kB / 3.28kB
1775423492,dds26-team9-orchestrator-worker-13,0.87%,34.82MiB / 512MiB,1.71MB / 2.94MB
1775423492,dds26-team9-orchestrator-worker-15,0.76%,32.85MiB / 512MiB,1.7MB / 2.93MB
1775423492,dds26-team9-orchestrator-worker-9,0.63%,34.83MiB / 512MiB,1.69MB / 2.91MB
1775423492,dds26-team9-orchestrator-worker-14,0.63%,34.84MiB / 512MiB,1.69MB / 2.91MB
1775423492,dds26-team9-orchestrator-worker-5,0.64%,35.05MiB / 512MiB,1.68MB / 2.9MB
1775423492,dds26-team9-orchestrator-worker-21,0.61%,34.91MiB / 512MiB,1.67MB / 2.89MB
1775423492,dds26-team9-orchestrator-worker-22,0.98%,34.83MiB / 512MiB,1.66MB / 2.86MB
1775423492,dds26-team9-orchestrator-worker-17,0.65%,34.82MiB / 512MiB,1.66MB / 2.87MB
